iteration,width,height,time
0,434,650, 0.21904706954956055 
0,650,975, 9.298324584960938e-05 
0,867,1300, 0.00010347366333007812 
0,2250,4000, 0.00012826919555664062 

1,434,650, 0.00010848045349121094 
1,650,975, 7.581710815429688e-05 
1,867,1300, 0.00010228157043457031 
1,2250,4000, 0.00011658668518066406

2,434,650, 9.608268737792969e-05 
2,650,975, 6.437301635742188e-05 
2,867,1300, 7.677078247070312e-05 
2,2250,4000, 0.00011277198791503906 

3,434,650, 0.00010085105895996094 
3,650,975, 5.841255187988281e-05 
3,867,1300, 8.034706115722656e-05 
3,2250,4000, 0.00011277198791503906 

4,434,650, 0.00010156631469726562 
4,650,975, 6.175041198730469e-05 
4,867,1300, 7.081031799316406e-05 
4,2250,4000, 0.00013017654418945312 

5,434,650, 0.00012230873107910156 
5,650,975, 0.00012421607971191406 
5,867,1300, 0.00010514259338378906 
5,2250,4000, 0.00010800361633300781 

6,434,650, 0.00010848045349121094 
6,650,975, 7.987022399902344e-05 
6,867,1300, 7.939338684082031e-05 
6,2250,4000, 0.00021076202392578125

7,434,650, 0.00010442733764648438 
7,650,975, 6.246566772460938e-05 
7,867,1300, 7.033348083496094e-05 
7,2250,4000, 0.00011372566223144531 

8,434,650, 8.96453857421875e-05 
8,650,975, 6.866455078125e-05 
8,867,1300, 7.200241088867188e-05 
8,2250,4000, 0.00011110305786132812

9,434,650, 8.630752563476562e-05 
9,650,975, 6.508827209472656e-05 
9,867,1300, 9.441375732421875e-05 
9,2250,4000, 0.0001125335693359375
 
10,434,650, 8.893013000488281e-05 
10,650,975, 7.176399230957031e-05 
10,867,1300, 8.058547973632812e-05 
10,2250,4000, 0.000110626220703125 
